Validation_Set,Topics,Power_iters,Decay,Coherence
75% Corpus,6,6,0.0,0.47084954195617107
75% Corpus,6,6,0.1,0.32647092527270555
75% Corpus,6,6,0.2,0.334196537563274
75% Corpus,6,6,0.3,0.3388897063086494
75% Corpus,6,6,0.4,0.3058376549448039
75% Corpus,6,6,0.5,0.3133380148106056
75% Corpus,6,6,0.6,0.3440165204755427
75% Corpus,6,6,0.7,0.3050408129254141
75% Corpus,6,6,0.8,0.43521601072361943
75% Corpus,6,6,0.9,0.32498294640207953
75% Corpus,6,6,1.0,0.2661121848312935
75% Corpus,6,8,0.0,0.3729887769781835
75% Corpus,6,8,0.1,0.32647092527270555
75% Corpus,6,8,0.2,0.334196537563274
75% Corpus,6,8,0.3,0.3388897063086494
75% Corpus,6,8,0.4,0.3058376549448039
75% Corpus,6,8,0.5,0.3133380148106056
75% Corpus,6,8,0.6,0.3440165204755427
75% Corpus,6,8,0.7,0.3050408129254141
75% Corpus,6,8,0.8,0.43521601072361943
75% Corpus,6,8,0.9,0.32498294640207953
75% Corpus,6,8,1.0,0.2661121848312935
75% Corpus,6,10,0.0,0.32608833137457843
75% Corpus,6,10,0.1,0.32647092527270555
75% Corpus,6,10,0.2,0.334196537563274
75% Corpus,6,10,0.3,0.3388897063086494
75% Corpus,6,10,0.4,0.3058376549448039
75% Corpus,6,10,0.5,0.3133380148106056
